,ExchangeRates
AED,4.048477
AFN,96.446468
ALL,105.535622
AMD,425.690223
ANG,1.983802
AOA,908.963852
ARS,301.614318
AUD,1.656241
AWG,1.983951
AZN,1.878107
BAM,1.958234
BBD,2.222503
BDT,119.448478
BGN,1.955052
BHD,0.415487
BIF,3124.72301
BMD,1.102195
BND,1.465835
BOB,7.606662
BRL,5.219008
BSD,1.100788
BTC,3.7644274e-05
BTN,90.504964
BWP,14.389017
BYN,2.778391
BYR,21603.023281
BZD,2.218798
CAD,1.459296
CDF,2726.830991
CHF,0.957802
CLF,0.033029
CLP,911.383492
CNY,7.879637
COP,4320.891227
CRC,594.655362
CUC,1.102195
CUP,29.208169
CVE,110.55446
CZK,23.977707
DJF,195.882541
DKK,7.452283
DOP,61.947646
DZD,149.649733
EGP,34.054311
ERN,16.532926
ETB,60.345612
EUR,1.0
FJD,2.468642
FKP,0.856433
GBP,0.857182
GEL,2.855116
GGP,0.856433
GHS,12.554432
GIP,0.856433
GMD,65.805293
GNF,9533.987707
GTQ,8.645904
GYD,230.470665
HKD,8.594311
HNL,27.136471
HRK,7.411004
HTG,150.799501
HUF,385.349866
IDR,16625.785915
ILS,4.081543
IMP,0.856433
INR,90.654997
IQD,1443.875536
IRR,46677.961407
ISK,144.906011
JEP,0.856433
JMD,170.064482
JOD,0.780469
JPY,155.29984
KES,156.95677
KGS,96.595168
KHR,4552.066006
KMF,491.913842
KPW,991.960271
KRW,1406.996511
KWD,0.338683
KYD,0.917248
KZT,490.188215
LAK,20983.042725
LBP,16819.497082
LKR,363.276509
LRD,205.008666
LSL,19.43212
LTL,3.254496
LVL,0.666707
LYD,5.252003
MAD,10.666497
MDL,19.450707
MGA,4910.279399
MKD,61.605781
MMK,2311.494236
MNT,3798.115771
MOP,8.842232
MRO,393.483449
MUR,50.48466
MVR,16.919111
MWK,1160.27384
MXN,18.404496
MYR,5.01885
MZN,69.714254
NAD,19.432115
NGN,855.061303
NIO,40.234225
NOK,11.233159
NPR,144.807943
NZD,1.789904
OMR,0.424339
PAB,1.100688
PEN,3.954718
PGK,3.88014
PHP,60.563457
PKR,315.672749
PLN,4.413906
PYG,8018.185115
QAR,4.013135
RON,4.934752
RSD,117.318054
RUB,101.468489
RWF,1297.283592
SAR,4.1344
SBD,9.200934
SCR,14.942357
SDG,662.974386
SEK,11.611306
SGD,1.467331
SHP,1.341096
SLE,23.233915
SLL,21768.352914
SOS,627.704129
SRD,42.354092
STD,22813.21253
SVC,9.630884
SYP,2769.299705
SZL,19.421084
THB,37.750588
TJS,12.047594
TMT,3.868705
TND,3.390907
TOP,2.590545
TRY,29.669773
TTD,7.4785
TWD,34.564952
TZS,2705.889255
UAH,40.651869
UGX,3979.000181
USD,1.102195
UYU,41.491575
UZS,12807.507028
VEF,3226919.660281
VES,32.259702
VND,26116.512074
VUV,130.267151
WST,2.991539
XAF,656.779358
XAG,0.045305
XAU,0.000562
XCD,2.978738
XDR,0.816025
XOF,650.850151
XPF,119.643675
YER,275.934935
ZAR,19.370693
ZMK,9921.082178
ZMW,20.445972
ZWL,354.906361
